;Country;League;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365>2.5;B365<2.5
338;England;England Premiere League;2022/01/05;Everton;Chelsea;1;0;H;5;3,6;1,75;2,02;1,88
340;England;England Premiere League;2022/01/05;West Ham;Arsenal;1;2;A;4,33;3,8;1,8;1,89;2,01
49;England;England Premiere League;2022/01/09;Leicester;Man United;0;1;A;3,4;3,75;2,05;1,66;2,2
69;England;England Premiere League;2022/01/10;Crystal Palace;Chelsea;1;2;A;4,2;3,6;1,85;2,1;1,72
67;England;England Premiere League;2022/01/10;Arsenal;Tottenham;3;1;H;2,05;3,75;3,3;1,72;2,1
72;England;England Premiere League;2022/01/10;Southampton;Everton;1;2;A;2,15;3,4;3,4;2,04;1,86
73;England;England Premiere League;2022/01/10;West Ham;Wolves;2;0;H;1,95;3,5;4,2;2,2;1,66
70;England;England Premiere League;2022/01/10;Fulham;Newcastle;1;4;A;3;3,4;2,37;1,91;1,99
68;England;England Premiere League;2022/01/10;Bournemouth;Brentford;0;0;D;3,3;3,4;2,2;2,02;1,88
71;England;England Premiere League;2022/01/10;Liverpool;Brighton;3;3;D;1,33;5,25;8,5;1,53;2,5
193;England;England Premiere League;2022/01/14;Brighton;Crystal Palace;1;1;D;2,05;3,3;3,8;2,2;1,66
197;England;England Premiere League;2022/01/15;Wolves;Southampton;3;1;H;2,25;3,2;3,4;2,5;1,53
194;England;England Premiere League;2022/01/15;Man City;Chelsea;1;0;H;1,65;4;5;1,85;2,05
195;England;England Premiere League;2022/01/15;Newcastle;Watford;1;1;D;2;3,6;3,6;1,8;2
196;England;England Premiere League;2022/01/15;Norwich;Everton;2;1;H;3,75;3,5;2;2,1;1,72
198;England;England Premiere League;2022/01/15;Aston Villa;Man United;2;2;D;2,87;3,5;2,4;1,89;2,01
199;England;England Premiere League;2022/01/16;Liverpool;Brentford;3;0;H;1,3;5,5;10;1,66;2,2
200;England;England Premiere League;2022/01/16;West Ham;Leeds;2;3;A;1,61;4,2;5;1,61;2,3
201;England;England Premiere League;2022/01/18;Brighton;Chelsea;1;1;D;4,75;3,75;1,72;2,1;1,72
203;England;England Premiere League;2022/01/19;Brentford;Man United;1;3;A;4,5;3,7;1,8;1,93;1,97
202;England;England Premiere League;2022/01/19;Leicester;Tottenham;2;3;A;3;3,5;2,3;1,72;2,1
204;England;England Premiere League;2022/01/21;Watford;Norwich;0;3;A;2;3,5;3,75;1,94;1,96
205;England;England Premiere League;2022/01/22;Everton;Aston Villa;0;1;A;2,75;3,25;2,62;2,05;1,85
206;England;England Premiere League;2022/01/22;Brentford;Wolves;1;2;A;3,2;2,8;2,6;2,5;1,53
207;England;England Premiere League;2022/01/22;Leeds;Newcastle;0;1;A;2;3,5;3,75;1,66;2,2
208;England;England Premiere League;2022/01/22;Man United;West Ham;1;0;H;1,85;3,8;4;1,66;2,2
